pl_name,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,st_mass,st_rad,st_teff,st_met
Kepler-887 b,4.04,1.84,20.42228798,0.15431,1.19,1.29,6194.0,0.08
Kepler-901 b,2.45,1.37,3.517494394,0.0378,0.59,0.57,4184.0,-0.3
Kepler-900 b,4.98,2.08,6.9913086,0.0679,0.78,0.73,4836.0,-0.01
Kepler-751 b,6.62,2.46,17.44490636,0.1263,0.87,0.84,5387.0,-0.06
Kepler-755 b,3.75,1.76,1.269090374,0.02156,0.82,0.77,5043.0,-0.01
Kepler-820 b,30.8,6.09,127.8338098,0.56004,1.23,1.36,6260.0,0.09
Kepler-817 b,60.2,9.03,3.990106229,0.0493,1.03,1.03,5861.0,0.02
Kepler-886 b,2.92,1.52,6.24146367,0.06428,1.1,1.16,6098.0,-0.01
Kepler-885 b,6.8,2.5,18.11472949,0.14403,1.21,1.35,6187.0,0.11
Kepler-904 b,3.78,1.77,3.021668632,0.0417,1.16,1.25,6160.0,0.05
Kepler-905 b,2.57,1.41,5.082746517,0.05689,0.95,0.86,5461.0,0.09
Kepler-756 b,1.46,1.12,1.224866322,0.0219,0.82,0.79,5282.0,-0.19
Kepler-757 b,2.42,1.36,1.022678821,0.019,1.08,1.13,6014.0,0.02
Kepler-815 b,15.8,4.11,8.57503552,0.09473,1.25,3.42,5028.0,-0.03
Kepler-852 b,6.99,2.54,44.9309804,0.27967,1.19,1.16,6100.0,0.22
Kepler-883 b,3.82,1.78,12.98495573,0.10288,1.06,1.09,6116.0,-0.13
Kepler-509 b,6.76,2.49,41.74600392,0.23702,1.1,1.2,6060.0,0.01
Kepler-466 c,2.1,1.25,3.709213846,0.04658,1.04,1.05,5927.0,-0.01
Kepler-502 b,20.4,4.77,4.28686431,0.0535,1.15,1.22,6125.0,0.05
Kepler-758 b,6.71,2.48,12.1097104,0.10754,1.16,1.42,6228.0,-0.1
Kepler-813 b,5.22,2.14,19.12947337,0.1439,0.95,0.93,5743.0,-0.13
Kepler-811 b,7.75,2.7,23.58447697,0.15911,1.01,1.24,5747.0,0.05
Kepler-882 b,2.04,1.23,3.989539666,0.04741,0.9,0.87,5476.0,-0.03
Kepler-880 b,7.56,2.66,7.71468975,0.0915,1.46,1.74,6761.0,0.03
Kepler-474 b,9.59,3.06,5.660672935,0.06092,0.99,1.08,5785.0,-0.01
Kepler-760 b,9.59,3.06,8.70419416,0.08087,0.89,0.85,5322.0,0.08
Kepler-810 b,4.38,1.93,4.59725385,0.055,1.03,1.04,5803.0,0.1
Kepler-809 b,9.32,3.01,55.63934,0.2901,0.99,0.98,5734.0,0.04
Kepler-877 b,5.14,2.12,18.45847097,0.1301,0.85,0.81,5261.0,-0.06
Kepler-750 c,3.26,1.62,4.08899022,0.05009,1.15,1.23,6160.0,0.03
Kepler-255 d,2.3,1.32,1.045622658,0.0192,0.9,0.86,5431.0,0.02
Kepler-775 b,1.81,1.19,0.974868926,0.01834,0.92,0.84,5468.0,-0.04
Kepler-500 b,7.18,2.58,8.508324398,0.08361,1.02,1.03,5813.0,0.03
Kepler-808 b,2.73,1.46,0.631332353,0.01314,0.76,0.71,4653.0,0.05
Kepler-875 b,8.75,2.9,27.5073799,0.1771,1.06,1.11,5958.0,0.03
Kepler-732 c,2.15,1.27,0.893041236,0.0143,0.49,0.46,3631.0,-0.01
Kepler-777 b,2.76,1.47,5.72812599,0.0519,0.58,0.56,4043.0,-0.17
Kepler-779 b,0.721,0.92,7.09714223,0.0533,0.46,0.44,3804.0,-0.43
Kepler-804 b,4.42,1.94,14.37457351,0.11287,1.01,1.05,5817.0,0.0
Kepler-803 b,13.8,3.79,50.28638192,0.26721,1.05,1.12,5919.0,0.02
Kepler-1049 b,0.809,0.95,3.273460736,0.0349,0.51,0.49,3864.0,-0.33
Kepler-969 b,4.94,2.07,34.1731714,0.19726,0.92,0.82,5214.0,0.22
Kepler-1137 b,5.48,2.2,23.9210791,0.1871,1.5,1.84,6807.0,0.05
Kepler-975 b,2.79,1.48,1.970342457,0.02898,0.8,0.75,4897.0,0.07
Kepler-995 b,7.75,2.7,28.26731672,0.1701,0.83,0.8,5206.0,-0.07
Kepler-1054 b,7.41,2.63,4.30655689,0.05542,1.22,1.34,6209.0,0.09
Kepler-1033 b,6.85,2.51,7.56052806,0.0761,0.94,0.92,5547.0,0.06
Kepler-1040 b,4.98,2.08,201.1214,0.67249,0.98,0.96,5694.0,0.01
Kepler-1138 b,3.53,1.7,3.17060005,0.0415,0.95,0.92,5582.0,0.04
Kepler-1139 b,1.81,1.19,0.813166719,0.01664,0.94,0.91,5550.0,0.05
Kepler-1060 b,6.26,2.38,46.8779367,0.2495,0.99,0.99,5797.0,-0.03
Kepler-1003 b,3.82,1.78,3.554856915,0.04333,1.11,1.17,6109.0,0.01
Kepler-1055 b,2.04,1.23,2.295036233,0.0335,0.98,0.94,5723.0,-0.02
Kepler-998 b,5.99,2.32,5.65377733,0.0626,1.12,1.18,6058.0,0.07
Kepler-1017 b,4.62,1.99,7.23400469,0.07196,0.93,0.87,5473.0,0.04
Kepler-974 b,3.09,1.57,4.194496514,0.0419,0.52,0.5,3687.0,0.07
Kepler-1045 b,7.7,2.69,26.41045478,0.1616,0.86,0.82,5301.0,-0.03
Kepler-980 b,7.61,2.67,11.55102504,0.09993,1.05,1.06,5935.0,0.01
Kepler-991 b,6.99,2.54,82.5342519,0.3104,0.64,0.61,4392.0,-0.25
Kepler-1072 b,3.12,1.58,1.569066502,0.02742,1.2,1.32,6199.0,0.07
Kepler-490 b,,11.65,3.268695154,0.0453,1.08,1.12,6045.0,-0.02
Kepler-1018 b,7.18,2.58,49.1013514,0.253,0.91,0.88,5518.0,-0.05
Kepler-1004 b,32.5,6.28,5.28789787,0.06791,1.11,3.39,4972.0,-0.04
Kepler-997 b,2.42,1.36,2.707306716,0.04022,1.22,1.56,6150.0,0.05
Kepler-1151 b,5.56,2.22,65.6478424,0.3197,0.88,0.85,5470.0,-0.11
Kepler-1064 b,3.02,1.55,16.54080322,0.1183,0.85,0.79,5153.0,0.0
Kepler-971 b,5.18,2.13,9.59070716,0.08679,0.88,0.85,5431.0,-0.06
Kepler-1051 b,11.5,3.4,25.96200249,0.18395,1.43,1.73,6675.0,0.04
Kepler-1007 b,2.67,1.44,5.185002073,0.048,0.73,0.7,4587.0,0.03
Kepler-968 b,4.66,2.0,3.692983728,0.0389,0.76,0.7,4598.0,0.13
Kepler-1145 b,2.54,1.4,3.97076766,0.0443,0.79,0.75,5064.0,-0.13
Kepler-1147 b,7.32,2.61,10.62784997,0.0961,1.09,1.14,5941.0,0.11
Kepler-1029 b,2.13,1.26,4.417696479,0.047,0.82,0.77,5030.0,0.01
Kepler-996 b,4.58,1.98,3.770590584,0.0474,1.09,1.14,6014.0,0.03
Kepler-966 b,16.0,4.13,99.747622,0.3907,1.02,1.02,5840.0,0.04
Kepler-1047 b,5.02,2.09,56.1886887,0.29871,1.08,1.13,5754.0,0.29
Kepler-1149 b,2.67,1.44,3.73089898,0.0473,1.02,1.01,5833.0,0.02
Kepler-1148 b,3.5,1.69,1.104463509,0.0188,0.81,0.77,5054.0,-0.02
Kepler-1057 b,11.2,3.36,14.08827448,0.1138,1.07,1.1,5987.0,0.01
Kepler-1059 b,3.64,1.73,3.764191048,0.044,0.75,0.72,4906.0,-0.15
Kepler-965 b,11.4,3.38,134.2527298,0.50998,1.05,1.15,5886.0,0.03
Kepler-999 b,6.08,2.34,5.991857017,0.06918,1.29,1.65,6237.0,0.05
Kepler-1112 b,9.38,3.02,14.36267939,0.1239,1.34,1.54,6496.0,0.04
Kepler-952 b,45.4,7.65,130.3546919,0.5183,1.0,0.99,5730.0,0.06
Kepler-479 b,5.14,2.12,12.49341307,0.09636,0.86,0.81,5247.0,-0.02
Kepler-934 b,5.02,2.09,55.6738309,0.2658,0.81,0.77,5001.0,0.01
Kepler-977 b,7.37,2.62,26.85328322,0.162,0.87,0.83,5315.0,-0.01
Kepler-1021 b,6.04,2.33,13.47469571,0.1034,0.89,0.86,5431.0,-0.05
Kepler-979 b,7.85,2.72,8.0880135,0.0753,0.87,0.83,5310.0,-0.02
Kepler-982 b,5.69,2.25,15.7738221,0.1277,1.16,1.29,6139.0,0.05
Kepler-936 b,2.7,1.45,10.56134221,0.0954,0.92,0.89,5482.0,0.05
Kepler-938 b,5.56,2.22,52.6298417,0.2689,0.92,0.89,5533.0,-0.03
Kepler-1006 b,2.99,1.54,19.76172042,0.1464,0.78,0.74,5328.0,-0.4
Kepler-1009 b,5.35,2.17,11.35011917,0.0796,0.59,0.57,4027.0,-0.12
Kepler-976 b,14.9,3.96,105.9564148,0.4217,0.87,0.83,5232.0,0.07
Kepler-1052 b,8.91,2.93,34.8538276,0.20988,1.03,1.03,5888.0,0.0
Kepler-1120 b,2.48,1.38,2.949029052,0.0369,0.78,0.74,4904.0,-0.04
